Line [lineName=null, startingStation=Station [stationName=Пишица, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Пробиштип, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ФИЛЕ ТУРС, regularityType=EVERYDAY, departureTime=16:53:00, arrivalTime=17:10:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Лезово, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Бучиште, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ФИЛЕ ТУРС, regularityType=EVERYDAY, departureTime=16:57:00, arrivalTime=17:01:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Лезово, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Пробиштип, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ФИЛЕ ТУРС, regularityType=EVERYDAY, departureTime=16:57:00, arrivalTime=17:10:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Бучиште, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Пробиштип, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ФИЛЕ ТУРС, regularityType=EVERYDAY, departureTime=17:01:00, arrivalTime=17:10:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Скопје, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Неготино, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=РУЛЕ ТУРС, regularityType=MON_SAT_HOLIDAYS, departureTime=16:00:00, arrivalTime=17:10:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Скопје, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Валандово, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=РУЛЕ ТУРС, regularityType=MON_SAT_HOLIDAYS, departureTime=16:00:00, arrivalTime=17:50:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Скопје, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Дојран, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=РУЛЕ ТУРС, regularityType=MON_SAT_HOLIDAYS, departureTime=16:00:00, arrivalTime=18:10:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Скопје, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Богданци, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=РУЛЕ ТУРС, regularityType=MON_SAT_HOLIDAYS, departureTime=16:00:00, arrivalTime=18:40:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Неготино, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Валандово, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=РУЛЕ ТУРС, regularityType=MON_SAT_HOLIDAYS, departureTime=17:10:00, arrivalTime=17:50:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Неготино, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Дојран, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=РУЛЕ ТУРС, regularityType=MON_SAT_HOLIDAYS, departureTime=17:10:00, arrivalTime=18:10:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Неготино, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Богданци, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=РУЛЕ ТУРС, regularityType=MON_SAT_HOLIDAYS, departureTime=17:10:00, arrivalTime=18:40:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Валандово, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Дојран, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=РУЛЕ ТУРС, regularityType=MON_SAT_HOLIDAYS, departureTime=17:50:00, arrivalTime=18:10:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Валандово, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Богданци, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=РУЛЕ ТУРС, regularityType=MON_SAT_HOLIDAYS, departureTime=17:50:00, arrivalTime=18:40:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Дојран, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Богданци, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=РУЛЕ ТУРС, regularityType=MON_SAT_HOLIDAYS, departureTime=18:10:00, arrivalTime=18:40:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Богданци, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Дојран, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=РУЛЕ ТУРС, regularityType=MON_SAT_HOLIDAYS, departureTime=06:35:00, arrivalTime=06:55:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Богданци, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Валандово, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=РУЛЕ ТУРС, regularityType=MON_SAT_HOLIDAYS, departureTime=06:35:00, arrivalTime=07:15:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Богданци, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Неготино, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=РУЛЕ ТУРС, regularityType=MON_SAT_HOLIDAYS, departureTime=06:35:00, arrivalTime=08:15:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Богданци, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Скопје, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=РУЛЕ ТУРС, regularityType=MON_SAT_HOLIDAYS, departureTime=06:35:00, arrivalTime=09:30:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Дојран, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Валандово, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=РУЛЕ ТУРС, regularityType=MON_SAT_HOLIDAYS, departureTime=06:55:00, arrivalTime=07:15:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Дојран, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Неготино, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=РУЛЕ ТУРС, regularityType=MON_SAT_HOLIDAYS, departureTime=06:55:00, arrivalTime=08:15:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Дојран, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Скопје, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=РУЛЕ ТУРС, regularityType=MON_SAT_HOLIDAYS, departureTime=06:55:00, arrivalTime=09:30:00, price=0]]------------------------------------------
